answer_id,timestamp,prefecture,serials_nagoya1,serials_nagoya2,serials_kobe1,serials_kobe2,serials_saitama1,serials_saitama2,tickets_nagoya1,tickets_nagoya2,tickets_kobe1,tickets_kobe2,tickets_saitama1,tickets_saitama2
486,2017/05/26 1:55:59 午後 GMT+9,愛知県,1,1,1,1,1,1,0,0,0,0,0,2
487,2017/05/26 4:38:58 午後 GMT+9,埼玉県,1,1,1,1,2,2,0,0,0,0,0,2
488,2017/05/26 11:36:45 午後 GMT+9,沖縄県,0,0,0,0,1,1,0,0,0,0,2,0
489,2017/05/27 12:13:40 午後 GMT+9,,1,1,1,1,1,1,0,0,0,0,2,0
490,2017/05/27 12:17:01 午後 GMT+9,東京都,5,5,5,5,5,5,0,2,0,0,0,2
491,2017/05/27 12:20:58 午後 GMT+9,大阪府,9,8,6,7,0,0,2,0,0,2,0,0
492,2017/05/27 12:21:32 午後 GMT+9,東京都,0,0,6,6,3,3,0,0,0,0,2,0
493,2017/05/27 3:17:30 午後 GMT+9,,0,0,3,0,0,0,0,0,0,0,0,0
494,2017/05/27 11:18:42 午後 GMT+9,埼玉県,1,0,0,0,0,0,1,0,0,0,0,0
495,2017/05/29 3:34:38 午後 GMT+9,青森県,0,1,0,0,1,0,0,1,0,0,1,0
496,2017/05/29 8:19:51 午後 GMT+9,静岡県,0,0,0,0,0,1,0,0,0,0,0,2
497,2017/05/30 10:35:48 午前 GMT+9,石川県,1,1,1,1,0,0,0,0,0,0,0,0
498,2017/05/30 7:56:22 午後 GMT+9,神奈川県,2,2,2,2,2,2,0,0,0,0,1,0
499,2017/06/01 2:39:09 午前 GMT+9,,1,1,1,1,1,1,0,0,0,0,0,2
500,2017/06/01 6:00:59 午後 GMT+9,東京都,1,1,1,1,2,2,0,0,0,0,2,0
502,2017/06/02 1:08:34 午後 GMT+9,大阪府,0,0,1,1,2,2,0,0,0,0,2,0
503,2017/06/02 1:09:38 午後 GMT+9,京都府,1,1,5,5,5,5,0,0,0,0,0,2
504,2017/06/02 1:55:52 午後 GMT+9,,1,1,1,1,1,1,0,0,0,0,0,2
505,2017/06/02 2:35:22 午後 GMT+9,富山県,1,1,0,0,1,1,0,0,0,0,0,2
506,2017/06/02 3:12:13 午後 GMT+9,愛知県,4,4,2,2,2,2,0,0,0,0,1,0
507,2017/06/02 5:44:22 午後 GMT+9,東京都,0,0,0,0,0,2,0,0,0,0,0,2
508,2017/06/02 7:50:09 午後 GMT+9,東京都,6,6,0,0,3,3,0,0,0,0,1,0
509,2017/06/02 8:24:33 午後 GMT+9,青森県,0,0,0,0,0,1,0,0,0,0,0,1
510,2017/06/02 9:00:10 午後 GMT+9,神奈川県,0,0,0,0,3,3,0,0,0,0,1,0
511,2017/06/02 9:27:37 午後 GMT+9,大阪府,0,0,2,2,0,0,0,0,0,0,0,0
512,2017/06/02 10:58:52 午後 GMT+9,東京都,1,0,1,0,1,0,0,0,0,0,2,0
513,2017/06/02 10:59:24 午後 GMT+9,,0,0,0,0,0,1,0,0,0,0,0,1
514,2017/06/02 11:05:21 午後 GMT+9,千葉県,1,1,0,0,4,4,0,0,0,0,2,0
515,2017/06/02 11:20:32 午後 GMT+9,石川県,1,1,0,0,0,0,0,2,0,0,0,0
516,2017/06/02 11:25:44 午後 GMT+9,京都府,1,1,5,5,1,1,0,0,0,1,0,0
517,2017/06/03 12:15:08 午前 GMT+9,大分県,1,0,0,1,1,0,1,0,0,0,1,0
518,2017/06/03 1:24:35 午前 GMT+9,愛知県,1,1,0,0,1,1,0,0,0,0,2,0
519,2017/06/03 2:58:41 午前 GMT+9,静岡県,2,2,1,1,3,3,0,0,0,0,0,2
520,2017/06/03 5:55:08 午前 GMT+9,,19,19,0,0,0,0,0,2,0,0,0,0
521,2017/06/03 5:55:59 午前 GMT+9,,10,10,0,0,0,0,0,2,0,0,0,0
522,2017/06/03 5:56:54 午前 GMT+9,,0,0,7,7,0,0,0,0,2,0,0,0
523,2017/06/03 5:57:41 午前 GMT+9,愛知県,0,0,0,0,7,7,0,0,0,0,2,0
524,2017/06/03 5:58:20 午前 GMT+9,愛知県,1,1,1,1,1,1,0,0,0,0,0,0
525,2017/06/03 8:26:16 午前 GMT+9,千葉県,0,0,0,0,1,1,0,0,0,0,2,2
526,2017/06/03 9:10:12 午前 GMT+9,京都府,1,1,3,3,2,2,0,0,0,0,0,2
527,2017/06/03 9:20:41 午前 GMT+9,,1,1,4,4,0,0,0,0,0,1,0,0
528,2017/06/03 9:32:29 午前 GMT+9,島根県,1,1,1,1,1,1,0,0,0,0,0,2
529,2017/06/03 10:12:51 午前 GMT+9,北海道,2,2,0,0,0,2,0,0,0,0,0,2
530,2017/06/03 11:10:34 午前 GMT+9,,0,0,0,1,0,0,0,0,0,0,0,0
531,2017/06/03 11:12:42 午前 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,1,0
532,2017/06/03 11:36:45 午前 GMT+9,埼玉県,0,0,0,0,1,1,0,0,0,0,0,2
533,2017/06/03 11:37:39 午前 GMT+9,秋田県,1,1,1,1,1,1,0,0,0,0,1,0
534,2017/06/03 11:53:01 午前 GMT+9,神奈川県,5,0,5,0,0,6,0,0,0,0,0,2
535,2017/06/03 12:07:52 午後 GMT+9,,4,4,3,3,2,2,2,0,0,0,2,0
536,2017/06/03 12:17:49 午後 GMT+9,千葉県,0,0,0,0,2,2,0,0,0,0,0,2
537,2017/06/03 12:19:28 午後 GMT+9,愛知県,1,1,1,1,1,1,0,0,0,0,0,2
538,2017/06/03 12:37:04 午後 GMT+9,福島県,1,1,0,0,1,1,2,0,0,0,0,2
539,2017/06/03 12:43:47 午後 GMT+9,大阪府,0,0,2,2,2,2,0,0,2,0,2,0
540,2017/06/03 12:49:09 午後 GMT+9,東京都,1,1,0,0,0,0,1,0,0,0,0,0
541,2017/06/03 12:55:45 午後 GMT+9,京都府,8,8,8,8,5,5,0,0,2,0,0,2
542,2017/06/03 1:00:11 午後 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,0,2
543,2017/06/03 1:02:49 午後 GMT+9,神奈川県,5,5,5,5,5,5,0,0,0,0,2,0
544,2017/06/03 1:04:40 午後 GMT+9,茨城県,3,3,0,0,0,0,0,2,0,0,0,0
545,2017/06/03 1:08:37 午後 GMT+9,群馬県,4,4,0,0,4,4,2,0,0,0,2,2
546,2017/06/03 1:10:12 午後 GMT+9,千葉県,6,6,2,2,6,6,0,0,0,0,2,0
547,2017/06/03 1:12:06 午後 GMT+9,東京都,8,8,7,7,7,7,0,0,0,0,2,0
548,2017/06/03 1:16:02 午後 GMT+9,神奈川県,2,2,2,2,2,2,2,0,0,0,0,2
549,2017/06/03 1:19:30 午後 GMT+9,,1,1,1,1,1,1,0,0,0,0,1,0
551,2017/06/03 1:32:18 午後 GMT+9,宮城県,0,0,0,0,4,4,0,0,0,0,1,0
552,2017/06/03 1:36:31 午後 GMT+9,神奈川県,0,0,2,2,2,2,0,0,2,0,2,0
553,2017/06/03 1:36:57 午後 GMT+9,愛知県,5,5,0,0,3,3,0,0,0,0,2,0
554,2017/06/03 1:37:04 午後 GMT+9,埼玉県,3,3,0,0,3,3,0,0,0,0,0,0
555,2017/06/03 1:38:03 午後 GMT+9,,1,1,1,1,1,1,2,0,0,0,0,2
556,2017/06/03 1:41:58 午後 GMT+9,,0,0,2,2,0,0,0,0,0,0,0,0
558,2017/06/03 1:43:42 午後 GMT+9,宮城県,0,0,0,0,0,1,0,0,0,0,0,1
559,2017/06/03 1:44:54 午後 GMT+9,愛知県,5,4,0,0,0,0,0,0,0,0,0,0
560,2017/06/03 1:49:27 午後 GMT+9,宮城県,0,0,0,0,4,4,0,0,0,0,0,2
561,2017/06/03 1:51:03 午後 GMT+9,兵庫県,1,1,1,1,0,0,1,0,1,0,0,0
562,2017/06/03 1:54:30 午後 GMT+9,愛知県,2,2,0,0,0,0,2,0,0,0,0,0
563,2017/06/03 1:56:28 午後 GMT+9,愛知県,4,4,4,4,1,4,0,0,0,0,2,0
564,2017/06/03 1:58:40 午後 GMT+9,,0,0,0,10,0,0,0,0,0,0,0,0
565,2017/06/03 2:20:59 午後 GMT+9,福岡県,1,1,1,1,3,3,0,0,2,0,2,0
566,2017/06/03 2:23:58 午後 GMT+9,大阪府,0,0,1,1,0,0,0,0,0,0,0,0
